full_name,name,owner,owner_type,created_at,updated_at,forks_count,stars_count,default_branch,topics,language,open_issues_count,open_pull_requests_count,branches_count,tags_count,commits_count,watchers_count,releases_count,packages_count,contributors_count,languages,close_issues_count,issues_count,close_pull_requests_count,pull_requests_count
Infineon/amazon-freertos,amazon-freertos,Infineon,Organization,2019-10-30T14:05:50Z,2023-02-11T19:34:24Z,9,5,feature/infineon,[],C,6,4,52,31,3014,9,5,0,74,"['C', 'Python', 'C++', 'CMake', 'HTML', 'Go']",7,13,11,15
mburshteyn1/DUKPT,DUKPT,mburshteyn1,User,2013-01-07T16:52:12Z,2022-09-02T22:40:50Z,11,30,master,[],Objective-C,3,0,1,0,7,7,0,0,2,['Objective-C'],1,4,1,1
mburshteyn1/Kal,Kal,mburshteyn1,User,2014-11-12T20:21:25Z,2015-01-14T22:23:01Z,0,1,master,[],Objective-C,1,0,1,0,7,1,0,0,0,['Objective-C'],0,1,0,0
mburshteyn1/Convert,Convert,mburshteyn1,User,2015-04-09T17:33:02Z,2015-04-30T02:21:27Z,0,1,master,[],Swift,1,0,1,0,7,1,0,0,0,['Swift'],0,1,0,0
mburshteyn1/MBCollectionView,MBCollectionView,mburshteyn1,User,2015-07-31T21:17:59Z,2017-04-25T13:33:36Z,1,1,master,[],Swift,1,0,1,0,7,2,0,0,0,"['Swift', 'C++']",0,1,0,0
SVProgressHUD/SVProgressHUD,SVProgressHUD,SVProgressHUD,Organization,2011-03-28T19:23:04Z,2023-02-14T04:28:04Z,2583,12366,master,"['carthage', 'cocoapods', 'hud', 'ios', 'objective-c', 'progress', 'svprogresshud', 'tvos']",Objective-C,36,44,1,36,781,329,0,0,93,"['Objective-C', 'Ruby']",697,733,324,368
CocoaPods/Specs,Specs,CocoaPods,Organization,2011-09-11T13:47:10Z,2023-02-17T07:07:10Z,9132,6530,master,[],,0,18,10,2,724662,268,1,0,5001,[],14043,14043,14043,14061
nxptest/mw320_sdk,mw320_sdk,nxptest,User,2022-05-09T07:07:39Z,2022-05-09T07:12:01Z,2,0,master,[],C,0,0,1,1,15,1,0,0,2,"['C', 'Assembly', 'Python', 'CMake', 'Makefile', 'Shell']",0,0,0,0
shgutte/MatterLockOverMG24_WF200,MatterLockOverMG24_WF200,shgutte,User,2022-12-13T10:27:30Z,2022-12-13T10:31:35Z,0,0,main,[],C,0,0,1,0,2,1,0,0,0,"['C', 'ZAP', 'C++']",0,0,0,0
zephyrproject-rtos/hal_infineon,hal_infineon,zephyrproject-rtos,Organization,2020-05-08T17:30:49Z,2023-02-03T15:23:21Z,12,3,master,"['hal', 'module']",C,0,2,1,0,9,32,0,0,3,"['C', 'Assembly']",5,5,5,7
SiliconLabs/matter_extension,matter_extension,SiliconLabs,Organization,2022-09-30T12:36:18Z,2023-01-10T16:00:20Z,3,3,main,[],C++,0,0,2,9,3,5,3,0,2,"['C++', 'Objective-C++', 'Objective-C', 'C', 'Java', 'Python']",0,0,1,1
g-truc/glm,glm,g-truc,Organization,2012-09-06T00:04:56Z,2023-02-19T14:27:29Z,1759,7216,master,"['cpp', 'cpp-library', 'glm', 'header-only', 'mathematics', 'matrix', 'opengl', 'quaternion', 'simd', 'sycl', 'vector', 'vulkan']",C++,0,34,51,72,4555,269,36,0,0,[],405,405,405,439
linux-sunxi/meta-sunxi,meta-sunxi,linux-sunxi,Organization,2012-06-12T21:05:19Z,2023-01-24T19:20:20Z,161,112,master,[],C,4,3,27,0,676,28,0,0,0,[],115,119,245,248
InkubatorTieto/melvil,melvil,InkubatorTieto,Organization,2018-05-02T07:46:34Z,2019-09-13T13:22:18Z,7,2,master,[],Python,8,11,21,0,945,5,0,0,13,"['Python', 'HTML', 'CSS', 'Shell', 'Batchfile', 'JavaScript']",159,167,178,189
SoMLabs/somlabs-buildroot,somlabs-buildroot,SoMLabs,Organization,2018-03-07T12:38:51Z,2020-07-10T12:01:32Z,1,0,somlabs-2019.05.x,[],Makefile,1,1,16,165,45844,2,0,0,655,"['Makefile', 'C', 'Python', 'Shell', 'C++', 'Perl']",1,2,0,1
brocaar/sx1302_hal,sx1302_hal,brocaar,User,2021-04-14T13:52:37Z,2022-12-19T09:49:51Z,208,2,master,[],C,0,1,2,21,19,1,0,0,0,[],2,2,2,3
randomplum/stm32f,stm32f,randomplum,User,2019-11-26T10:45:35Z,2021-03-27T13:17:57Z,1,0,master,[],C,0,0,3,0,1,2,0,0,0,"['C', 'HTML', 'C++', 'Assembly', 'Rich Text Format', 'Objective-C']",0,0,0,0
psurply/ReGAL,ReGAL,psurply,User,2018-01-28T14:42:28Z,2023-01-22T17:06:30Z,6,51,master,[],Python,2,0,1,0,16,9,0,0,0,"['Python', 'Verilog', 'C', 'Makefile']",2,4,0,0
google/oss-fuzz,oss-fuzz,google,Organization,2016-07-20T19:39:50Z,2023-02-19T15:31:03Z,1826,8383,master,"['fuzz-testing', 'fuzzing', 'oss-fuzz', 'security', 'stability', 'vulnerabilities']",Shell,198,168,166,0,8852,243,0,0,727,"['Shell', 'Python', 'Dockerfile', 'Java', 'C', 'C++']",1818,2016,7530,7698
lcj446068124/WallpaperSetter,WallpaperSetter,lcj446068124,User,2018-04-18T11:13:35Z,2021-09-01T06:45:16Z,0,2,master,[],Java,0,0,1,0,6,1,0,0,0,['Java'],0,0,0,0
lcj446068124/-coolweather,-coolweather,lcj446068124,User,2018-02-19T15:54:43Z,2018-02-19T15:58:45Z,0,0,master,[],Java,0,0,1,0,5,0,0,0,0,['Java'],0,0,0,0
lcj446068124/javamanlabs,javamanlabs,lcj446068124,User,2018-11-14T06:19:21Z,2019-06-02T15:52:44Z,0,0,master,[],Java,0,0,1,0,57,0,0,0,0,"['Java', 'JavaScript', 'CSS']",0,0,0,0
lcj446068124/IOT1,IOT1,lcj446068124,User,2020-12-10T12:52:04Z,2021-06-22T04:54:21Z,0,0,main,[],C,0,0,1,0,9,1,0,0,0,['C'],0,0,0,0
lcj446068124/IOT2,IOT2,lcj446068124,User,2020-12-19T11:09:06Z,2020-12-24T12:18:43Z,0,0,main,[],C,0,0,1,0,7,1,0,0,0,"['C', 'C++']",0,0,0,0
0x1abin/MultiButton,MultiButton,0x1abin,User,2016-08-29T08:34:28Z,2023-02-19T07:57:47Z,436,816,master,[],C,13,3,1,0,60,63,0,0,10,['C'],6,19,13,16
chiragatal/temp_uploads,temp_uploads,chiragatal,User,2020-05-18T05:32:50Z,2021-12-13T10:16:51Z,0,1,master,[],,0,0,1,0,3,1,0,0,0,[],0,0,0,0
chiragatal/esp-zerocode,esp-zerocode,chiragatal,User,2023-02-14T10:36:37Z,2023-02-17T03:19:50Z,0,1,main,[],,0,0,1,0,9,1,0,0,0,[],0,0,0,0
chiragatal/esp-aia,esp-aia,chiragatal,User,2020-03-03T12:52:28Z,2020-03-03T13:01:01Z,0,0,master,[],,0,0,2,0,1,1,0,0,0,[],0,0,0,0
CESARBR/corona-mission,corona-mission,CESARBR,Organization,2020-03-21T20:35:26Z,2021-05-31T23:45:41Z,7,6,dev,[],TypeScript,21,28,28,1,208,15,0,0,6,"['TypeScript', 'HTML', 'CSS', 'JavaScript']",28,49,44,72
bluez/bluez,bluez,bluez,Organization,2019-11-05T10:32:32Z,2023-02-17T08:33:15Z,174,396,master,[],C,213,1,1,307,26751,12,0,0,260,"['C', 'Python', 'Makefile', 'Roff', 'M4', 'Shell']",229,442,37,38
hubTab/egt,egt,hubTab,User,2021-02-02T21:10:43Z,2021-02-02T21:24:15Z,0,0,master,[],C++,0,0,1,0,2233,1,0,0,0,"['C++', 'M4', 'C', 'Makefile', 'Shell', 'SWIG', 'Assembly']",0,0,0,0
wehale/songs,songs,wehale,User,2019-11-07T11:06:07Z,2019-11-07T14:21:39Z,0,0,master,[],,0,0,1,0,9,2,0,0,0,[],0,0,1,1
wehale/hig,hig,wehale,User,2020-02-05T01:57:48Z,2020-05-08T02:47:31Z,2,0,master,[],JavaScript,0,0,1,0,51,2,0,0,2,['JavaScript'],1,1,3,3
SiliconLabs/java_packet_trace_library,java_packet_trace_library,SiliconLabs,Organization,2020-12-01T21:11:22Z,2023-01-05T20:15:52Z,6,6,master,[],Java,6,0,1,0,129,11,0,0,5,['Java'],2,8,34,34
wehale/spelling-bee,spelling-bee,wehale,User,2023-01-04T17:11:17Z,2023-01-04T17:13:10Z,0,0,main,[],Python,0,0,1,0,1,1,0,0,0,['Python'],0,0,0,0
